,song titles,artists
0,Drivers License,Olivia Rodrigo
1,34+35,Ariana Grande Ft. Doja Cat & Megan Thee Stallion
2,Mood,24kGoldn Featuring iann dior
3,Blinding Lights,The Weeknd
4,Positions,Ariana Grande
5,Levitating,Dua Lipa Featuring DaBaby
6,Go Crazy,Chris Brown & Young Thug
7,Holy,Justin Bieber Featuring Chance The Rapper
8,Bang!,AJR
9,Good Days,SZA
10,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
11,I Hope,Gabby Barrett Featuring Charlie Puth
12,Therefore I Am,Billie Eilish
13,Lonely,Justin Bieber & benny blanco
14,Better Together,Luke Combs
15,Body,Megan Thee Stallion
16,Laugh Now Cry Later,Drake Featuring Lil Durk
17,Dakiti,Bad Bunny & Jhay Cortez
18,Whoopty,CJ
19,Save Your Tears,The Weeknd
20,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
21,Bad Boy,Juice WRLD & Young Thug
22,What You Know Bout Love,Pop Smoke
23,Wasted On You,Morgan Wallen
24,7 Summers,Morgan Wallen
25,Anyone,Justin Bieber
26,More Than My Hometown,Morgan Wallen
27,Willow,Taylor Swift
28,Kings & Queens,Ava Max
29,Before You Go,Lewis Capaldi
30,You Broke Me First.,Tate McRae
31,You're Mines Still,Yung Bleu Featuring Drake
32,On Me,Lil Baby
33,My Ex's Best Friend,Machine Gun Kelly X blackbear
34,Starting Over,Chris Stapleton
35,Somebody's Problem,Morgan Wallen
36,Rockstar,DaBaby Featuring Roddy Ricch
37,I Should Probably Go To Bed,Dan + Shay
38,Streets,Doja Cat
39,Sand In My Boots,Morgan Wallen
40,Afterglow,Ed Sheeran
41,Good Time,Niko Moon
42,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
43,Hole In The Bottle,Kelsea Ballerini
44,Dynamite,BTS
45,Back In Blood,Pooh Shiesty Featuring Lil Durk
46,Diamonds,Sam Smith
47,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
48,Best Friend,Saweetie Featuring Doja Cat
49,WAP,Cardi B Featuring Megan Thee Stallion
50,Cry Baby,Megan Thee Stallion Featuring DaBaby
51,Without You,The Kid LAROI
52,Damage,H.E.R.
53,Throat Baby (Go Baby),BRS Kash
54,Masterpiece,DaBaby
55,Love You Like I Used To,Russell Dickerson
56,Happy Does,Kenny Chesney
57,Back To The Streets,Saweetie Featuring Jhene Aiko
58,Holiday,Lil Nas X
59,What's Your Country Song,Thomas Rhett
60,Put Your Records On,Ritt Momney
61,Champagne Night,Lady A
62,Still Trappin',Lil Durk & King Von
63,Beers And Sunshine,Darius Rucker
64,Forever After All,Luke Combs
65,Still Goin Down,Morgan Wallen
66,Monster,Shawn Mendes & Justin Bieber
67,"Big, Big Plans",Chris Lane
68,Tyler Herro,Jack Harlow
69,Down To One,Luke Bryan
70,Cover Me Up,Morgan Wallen
71,Warning,Morgan Wallen
72,Just The Way,Parmalee x Blanco Brown
73,865,Morgan Wallen
74,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake
75,Undivided,Tim McGraw & Tyler Hubbard
76,Monsters,All Time Low Featuring Demi Lovato & blackbear 
77,Take You Dancing,Jason Derulo
78,Prisoner,Miley Cyrus Featuring Dua Lipa
79,Long Live,Florida Georgia Line
80,The Good Ones,Gabby Barrett
81,Golden,Harry Styles
82,Buss It,Erica Banks
83,Beat Box,SpotemGottem
84,Goosebumps,Travis Scott & HVME
85,Hit Different,SZA Featuring Ty Dolla $ign
86,So Done,The Kid LAROI
87,Bichota,Karol G
88,Moonwalking In Calabasas,DDG
89,Adderall (Corvette Corvette),Popp Hunna
90,Girl Like Me,Black Eyed Peas X Shakira
91,De Una Vez,Selena Gomez
92,Momma's House,Dustin Lynch
93,Better Days,Ant Clemons Featuring Justin Timberlake
94,Lady,Brett Young
95,Drankin N Smokin,Future & Lil Uzi Vert
96,Somebody Like That,Tenille Arts
97,One Too Many,Keith Urban Duet With P!nk
98,Hell Of A View,Eric Church
99,Dangerous,Morgan Wallen
